PVSYST 7.2.15,,,,,
,File,File date,Description,,
Project,AL - Sheffield Utilities_Project.PRJ,08/06/22 11h41,AL - Sheffield Utilities,,
Geographical Site,AL - Tuscumbia_SA_TMY.SIT,08/06/22 11h41,AL - Tuscumbia;United States;North_America;,,
Meteo data,AL - Tuscumbia__SA_TMY.MET,08/06/22 11h39,AL - Tuscumbia;Solar Anywhere V3.5;TMY,,
Simulation variant,AL - Sheffield Utilities_Project.VC1,10/06/22 11h46,540W 35% Rev(A) with Shading Model,,
Simulation date,,10/06/22 11h46,,,
,,,,,
Simulation:,Hourly values, from 01/01/90, to 31/12/90 ,,
,,,,,
date,GlobInc,GlobEff,EArray,E_Grid,PR
    ,W/m²,W/m²,kW,kW,ratio
,,,,,
1/1/1990 0:00,0,0,0,-12.461,1
1/1/1990 1:00,0,0,0,-12.461,1
1/1/1990 2:00,0,0,0,-12.461,1
1/1/1990 3:00,0,0,0,-12.461,1
1/1/1990 4:00,0,0,0,-12.461,1
1/1/1990 5:00,0,0,0,-12.461,1
1/1/1990 6:00,0,0,0,-12.461,1
1/1/1990 7:00,115.48,91.221,1192.9,1157.8,0.8015
1/1/1990 8:00,623.69,607.49,7877.3,7615.6,0.9761
1/1/1990 9:00,654.72,645.61,8380.3,8087.4,0.9874
1/1/1990 10:00,603.63,597.33,7907.2,7642.3,1.0121
1/1/1990 11:00,559.86,555.39,7486.4,7244.3,1.0343
1/1/1990 12:00,532.09,526.95,7090.1,6868,1.0318
1/1/1990 13:00,546.27,536.75,7100.4,6877.8,1.0065
1/1/1990 14:00,330.19,319.05,4325.4,4220.1,1.0217
1/1/1990 15:00,215.79,203.69,2683.6,2621.5,0.9711
1/1/1990 16:00,42.538,30.56,396.47,368.2,0.6919
1/1/1990 17:00,0,0,0,-12.461,1
1/1/1990 18:00,0,0,0,-12.461,1
1/1/1990 19:00,0,0,0,-12.461,1
1/1/1990 20:00,0,0,0,-12.461,1
1/1/1990 21:00,0,0,0,-12.461,1
1/1/1990 22:00,0,0,0,-12.461,1
1/1/1990 23:00,0,0,0,-12.461,1
2/1/1990 0:00,0,0,0,-12.461,1
2/1/1990 1:00,0,0,0,-12.461,1
2/1/1990 2:00,0,0,0,-12.461,1
2/1/1990 3:00,0,0,0,-12.461,1
2/1/1990 4:00,0,0,0,-12.461,1
2/1/1990 5:00,0,0,0,-12.461,1
2/1/1990 6:00,0,0,0,-12.461,1
2/1/1990 7:00,116.92,90.727,1212.9,1179.1,0.8061
2/1/1990 8:00,627.37,611.02,8102.5,7833.4,0.9981
2/1/1990 9:00,619.14,609.48,8155.7,7882.9,1.0178
2/1/1990 10:00,591.95,584.81,7938.6,7677.4,1.0368
2/1/1990 11:00,534.78,530.47,7346.9,7118,1.064
2/1/1990 12:00,557.88,553.16,7616.1,7372.1,1.0563
2/1/1990 13:00,612.1,604.92,8111.8,7839.9,1.0239
2/1/1990 14:00,661.46,651.26,8587.2,8287.1,1.0015
2/1/1990 15:00,509.96,483.16,6372.3,6190,0.9703
2/1/1990 16:00,41.698,29.135,385.84,358.3,0.6869
2/1/1990 17:00,0,0,0,-12.461,1
2/1/1990 18:00,0,0,0,-12.461,1
2/1/1990 19:00,0,0,0,-12.461,1
2/1/1990 20:00,0,0,0,-12.461,1
2/1/1990 21:00,0,0,0,-12.461,1
2/1/1990 22:00,0,0,0,-12.461,1
2/1/1990 23:00,0,0,0,-12.461,1
3/1/1990 0:00,0,0,0,-12.461,1
3/1/1990 1:00,0,0,0,-12.461,1
3/1/1990 2:00,0,0,0,-12.461,1
3/1/1990 3:00,0,0,0,-12.461,1
3/1/1990 4:00,0,0,0,-12.461,1
3/1/1990 5:00,0,0,0,-12.461,1
3/1/1990 6:00,0,0,0,-12.461,1
3/1/1990 7:00,133.43,102.67,1392.1,1356,0.8124
3/1/1990 8:00,564.17,548.65,7399.6,7169,1.0158
3/1/1990 9:00,653.52,644,8584,8285.9,1.0135
3/1/1990 10:00,596.66,590.2,7994.3,7730,1.0356
3/1/1990 11:00,554.43,550.17,7582.8,7340.6,1.0584
3/1/1990 12:00,558.28,553.66,7573.9,7330.7,1.0497
3/1/1990 13:00,610.41,603.09,8052.9,7782.8,1.0192
3/1/1990 14:00,664.22,653.62,8542.7,8242.6,0.992
3/1/1990 15:00,505.58,479.2,6239,6060.3,0.9582
3/1/1990 16:00,44.31,32.881,429.85,401.77,0.7248
3/1/1990 17:00,0,0,0,-12.461,1
3/1/1990 18:00,0,0,0,-12.461,1
3/1/1990 19:00,0,0,0,-12.461,1
3/1/1990 20:00,0,0,0,-12.461,1
3/1/1990 21:00,0,0,0,-12.461,1
3/1/1990 22:00,0,0,0,-12.461,1
3/1/1990 23:00,0,0,0,-12.461,1
4/1/1990 0:00,0,0,0,-12.461,1
4/1/1990 1:00,0,0,0,-12.461,1
4/1/1990 2:00,0,0,0,-12.461,1
4/1/1990 3:00,0,0,0,-12.461,1
4/1/1990 4:00,0,0,0,-12.461,1
4/1/1990 5:00,0,0,0,-12.461,1
4/1/1990 6:00,0,0,0,-12.461,1
4/1/1990 7:00,128.36,99.208,1320.2,1284.6,0.8
4/1/1990 8:00,585.77,570.35,7520.8,7281.9,0.9937
4/1/1990 9:00,645.57,635.92,8325.2,8037.3,0.9952
4/1/1990 10:00,615.34,608.77,8027,7754.4,1.0074
4/1/1990 11:00,565.43,560.98,7506.9,7262.2,1.0267
4/1/1990 12:00,571.35,566.46,7548.4,7300.7,1.0215
4/1/1990 13:00,597.19,589.71,7659.2,7404.7,0.9912
